codeValue,description,shortDescription,namespace
7E (V+Q-),,7E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (V+N-),,7E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q-V+),,7E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q-N+),,7E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q+V-),,7E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q+N-),,7E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N-V+),,7E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N-Q+),,7E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N+V-),,7E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N+Q-),,7E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8A,,8A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (V-),,8B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (V+),,8B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (Q-),,8B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (Q+),,8B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (N-),,8B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8B (N+),,8B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (V-Q+),,8C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (V-N+),,8C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (V+Q-),,8C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (V+N-),,8C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (Q-V+),,8C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (Q-N+),,8C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (Q+V-),,8C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (Q+N-),,8C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (N-V+),,8C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (N-Q+),,8C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (N+V-),,8C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8C (N+Q-),,8C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V-),,8E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V+),,8E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q-),,8E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q+),,8E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N-),,8E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N+),,8E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V-Q+),,8E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V-N+),,8E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V+Q-),,8E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (V+N-),,8E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q-V+),,8E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q-N+),,8E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q+V-),,8E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (Q+N-),,8E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N-V+),,8E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N-Q+),,8E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N+V-),,8E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
8E (N+Q-),,8E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9A,,9A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (V-),,9B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (V+),,9B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (Q-),,9B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (Q+),,9B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (N-),,9B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9B (N+),,9B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (V-Q+),,9C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (V-N+),,9C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (V+Q-),,9C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (V+N-),,9C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (Q-V+),,9C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (Q-N+),,9C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (Q+V-),,9C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (Q+N-),,9C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (N-V+),,9C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (N-Q+),,9C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (N+V-),,9C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9C (N+Q-),,9C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V-),,9E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V+),,9E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q-),,9E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q+),,9E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N-),,9E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N+),,9E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V-Q+),,9E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V-N+),,9E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V+Q-),,9E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (V+N-),,9E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q-V+),,9E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q-N+),,9E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q+V-),,9E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (Q+N-),,9E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N-V+),,9E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N-Q+),,9E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N+V-),,9E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
9E (N+Q-),,9E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
