Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Season,Final_Date,cbmr_english_total_words_read,cbmr_english_words_read_correct,cbmr_english_wrc_per_minute,cbmr_english_median_accuracy,cbmr_english_error_twr_wrc,cbmr_english_percentile_at_school,cbmr_english_percentile_at_lea,cbmr_english_percentile_at_nation,cbmr_english_risk_level,cbmr_english_final_date,concepts_of_print_total_items,concepts_of_print_items_correct,concepts_of_print_ic_per_minute,concepts_of_print_error_total_items_items_correct,concepts_of_print_percentile_at_school,concepts_of_print_percentile_at_lea,concepts_of_print_percentile_at_nation,concepts_of_print_risk_level,concepts_of_print_final_date,decodable_words_total_words_read,decodable_words_words_read_correct,decodable_words_wrc_per_minute,decodable_words_percentile_at_school,decodable_words_percentile_at_lea,decodable_words_percentile_at_nation,decodable_words_risk_level,decodable_words_final_date,early_reading_english_composite_score,early_reading_english_percentile_at_school,early_reading_english_percentile_at_lea,early_reading_english_percentile_at_nation,early_reading_english_risk_level,letter_names_total_words_read,letter_names_words_read_correct,letter_names_wrc_per_minute,letter_names_percentile_at_school,letter_names_percentile_at_lea,letter_names_percentile_at_nation,letter_names_risk_level,letter_names_final_date,letter_sounds_total_words_read,letter_sounds_words_read_correct,letter_sounds_wrc_per_minute,letter_sounds_percentile_at_school,letter_sounds_percentile_at_lea,letter_sounds_percentile_at_nation,letter_sounds_risk_level,letter_sounds_final_date,nonsense_words_total_words_read,nonsense_words_words_read_correct,nonsense_words_wrc_per_minute,nonsense_words_percentile_at_school,nonsense_words_percentile_at_lea,nonsense_words_percentile_at_nation,nonsense_words_risk_level,nonsense_words_final_date,onset_sounds_total_items,onset_sounds_items_correct,onset_sounds_ic_per_minute,onset_sounds_error_total_items_items_correct,onset_sounds_percentile_at_school,onset_sounds_percentile_at_lea,onset_sounds_percentile_at_nation,onset_sounds_risk_level,onset_sounds_final_date,oral_repetition_total_items,oral_repetition_items_correct,oral_repetition_ic_per_minute,oral_repetition_error_total_items_items_correct,oral_repetition_percentile_at_school,oral_repetition_percentile_at_lea,oral_repetition_percentile_at_nation,oral_repetition_risk_level,oral_repetition_final_date,sentence_reading_total_words_read,sentence_reading_words_read_correct,sentence_reading_wrc_per_minute,sentence_reading_percentile_at_school,sentence_reading_percentile_at_lea,sentence_reading_percentile_at_nation,sentence_reading_risk_level,sentence_reading_final_date,sight_words_total_words_read,sight_words_words_read_correct,sight_words_wrc_per_minute,sight_words_percentile_at_school,sight_words_percentile_at_lea,sight_words_percentile_at_nation,sight_words_risk_level,sight_words_final_date,word_blending_total_items,word_blending_items_correct,word_blending_ic_per_minute,word_blending_error_total_items_items_correct,word_blending_percentile_at_school,word_blending_percentile_at_lea,word_blending_percentile_at_nation,word_blending_risk_level,word_blending_final_date,word_rhyming_total_items,word_rhyming_items_correct,word_rhyming_ic_per_minute,word_rhyming_error_total_items_items_correct,word_rhyming_percentile_at_school,word_rhyming_percentile_at_lea,word_rhyming_percentile_at_nation,word_rhyming_risk_level,word_rhyming_final_date,word_segmenting_total_items,word_segmenting_items_correct,word_segmenting_ic_per_minute,word_segmenting_error_total_items_items_correct,word_segmenting_percentile_at_school,word_segmenting_percentile_at_lea,word_segmenting_percentile_at_nation,word_segmenting_risk_level,word_segmenting_final_date,decodable_words_error,letter_names_error,letter_sounds_error,nonsense_words_error,sentence_reading_error,sight_words_error
Early Reading English,,,,,,910620,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,6,3.6,6,40,35.863094,31,someRisk,8/17/2022,,,,,,,,,28,17.647058,21.577381,13,someRisk,21,10,10,57.64706,51.041668,31,someRisk,8/17/2022,10,0,0,0,0,13,someRisk,8/17/2022,,,,,,,,,16,4,1.74,12,11.764706,15.476191,10,highRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,
Early Reading English,,,,,,403445,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,4,2.47,8,11.764706,10.863095,12,highRisk,8/15/2022,,,,,,,,,27,9.411765,11.309524,8,highRisk,10,0,0,0,0,5,highRisk,8/15/2022,10,0,0,0,0,13,someRisk,8/15/2022,,,,,,,,,16,5,2.29,11,16.470589,22.619047,13,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,
Early Reading English,,,,,,498591,,,,,,,,Three,Fall,8/16/2022,85,85,85,100,0,56.57895,51.819504,38,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,391476,,,,,,,,One,Fall,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97.849464,96.78771,86,lowRisk,,,,,,,,,,,,,,,,,23,19,19,97.849464,93.006996,76,lowRisk,8/17/2022,,,,,,,,,,,,,,,,,,,92,91,91,98.92473,98.45938,95,lowRisk,8/17/2022,62,62,62,98.92473,95.524475,85,lowRisk,8/17/2022,,,,,,,,,,,,,,,,,,,34,29,21.22,5,51.612904,44.755245,47,lowRisk,8/17/2022,,,,4,1,0
Early Reading English,,,,,,575435,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,8,7.16,4,72.94118,60.416668,55,lowRisk,8/18/2022,,,,,,,,,40,100,94.940475,83,lowRisk,48,46,46,100,97.76786,90,lowRisk,8/18/2022,24,18,18,98.82353,93.75,81,lowRisk,8/18/2022,,,,,,,,,16,15,12.68,1,90.588234,81.39881,73,lowRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,
Early Reading English,,,,,,766563,,,,,,,,Kindergarten,Fall,8/22/2022,,,,,,,,,,,12,10,6.98,2,87.05882,82.8869,79,lowRisk,8/22/2022,,,,,,,,,38,96.47059,89.28571,74,lowRisk,39,37,37,98.82353,93.89881,80,lowRisk,8/22/2022,18,9,9,84.70588,80.208336,62,lowRisk,8/22/2022,,,,,,,,,16,14,6.04,2,82.35294,73.21429,61,lowRisk,8/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,
Early Reading English,,,,,,770487,,,,,,,,Kindergarten,Spring,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,12.087913,23.011364,12,highRisk,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,3/24/2023,8,7,7,15.384615,27.130682,17,someRisk,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,3/24/2023,,,,,,,,,,,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,3/24/2023,,,4,1,,10
Early Reading English,,,,,,216739,,,,,,,,Kindergarten,Spring,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,23.076923,37.784092,21,someRisk,,,,,,,,,35,32,32,32.967033,47.44318,23,someRisk,3/20/2023,9,6,6,10.989011,22.017046,14,someRisk,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7,7,29.67033,39.914772,25,someRisk,3/20/2023,,,,,,,,,,,,,,,,,,,34,32,46.83,2,75.82417,63.920456,70,lowRisk,3/20/2023,,,3,3,,14
Early Reading English,,,,,,126225,,,,,,,,Kindergarten,Spring,3/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,59.34066,63.352272,37,someRisk,,,,,,,,,46,46,46,79.12088,77.556816,53,lowRisk,3/21/2023,14,14,14,58.241756,70.880684,51,lowRisk,3/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7,7,29.67033,39.914772,25,someRisk,3/21/2023,,,,,,,,,,,,,,,,,,,34,30,23.68,4,29.67033,36.079544,49,lowRisk,3/21/2023,,,0,0,,11
Early Reading English,,,,,,877572,,,,,,,,Kindergarten,Spring,3/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,90.10989,83.66477,60,lowRisk,,,,,,,,,48,48,48,83.51649,81.392044,58,lowRisk,3/17/2023,16,16,16,75.82417,81.107956,62,lowRisk,3/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,29,91.20879,85.369316,63,lowRisk,3/17/2023,,,,,,,,,,,,,,,,,,,34,32,50.53,2,75.82417,63.920456,70,lowRisk,3/17/2023,,,0,0,,3
Early Reading English,,,,,,388389,,,,,,,,Kindergarten,Spring,3/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,23.076923,37.784092,21,someRisk,,,,,,,,,30,29,33.46,40.65934,52.272728,25,someRisk,3/29/2023,6,6,6,10.989011,22.017046,14,someRisk,3/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,26,9,9,48.35165,47.86932,31,someRisk,3/29/2023,,,,,,,,,,,,,,,,,,,34,30,33.33,4,29.67033,36.079544,49,lowRisk,3/29/2023,,,1,0,,17
Early Reading English,,,,,,356787,,,,,,,,Kindergarten,Spring,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.83517,68.46591,40,lowRisk,,,,,,,,,43,43,43,70.32967,71.732956,45,lowRisk,3/24/2023,15,14,14,58.241756,70.880684,51,lowRisk,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,10,62.637363,53.977272,34,someRisk,3/24/2023,,,,,,,,,,,,,,,,,,,34,32,48,2,75.82417,63.920456,70,lowRisk,3/24/2023,,,0,1,,15
Early Reading English,,,,,,334053,,,,,,,,Kindergarten,Spring,3/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5.4945054,14.0625,6,highRisk,,,,,,,,,30,27,27,17.582418,32.102272,15,someRisk,3/29/2023,5,5,5,8.791209,18.75,11,highRisk,3/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,2,9.89011,15.767045,9,highRisk,3/29/2023,,,,,,,,,,,,,,,,,,,34,16,12.31,18,2.1978023,10.227273,7,highRisk,3/29/2023,,,3,0,,18
Early Reading English,,,,,,872246,,,,,,,,Kindergarten,Spring,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,95.505615,96.16477,80,lowRisk,,,,,,,,,67,65,65,98.8764,97.017044,89,lowRisk,3/16/2023,21,18,18,87.64045,88.35227,72,lowRisk,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,45,43,43,93.25843,92.1875,75,lowRisk,3/16/2023,,,,,,,,,,,,,,,,,,,34,34,52.31,0,79.77528,85.369316,99,lowRisk,3/16/2023,,,2,3,,2
Early Reading English,,,,,,809570,,,,,,,,Kindergarten,Spring,3/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,7.6923075,20.3125,10,highRisk,,,,,,,,,25,22,22,9.89011,19.744318,9,highRisk,3/23/2023,9,8,8,20.879122,32.386364,20,someRisk,3/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,6,21.978022,34.659092,21,someRisk,3/23/2023,,,,,,,,,,,,,,,,,,,34,23,17.92,11,7.6923075,15.056818,13,highRisk,3/23/2023,,,3,1,,14
Early Reading English,,,,,,876646,,,,,,,,Kindergarten,Spring,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.83517,68.46591,40,lowRisk,,,,,,,,,34,34,34,41.758244,52.414772,26,someRisk,3/24/2023,11,11,11,31.868132,51.136364,34,someRisk,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,33,23,23,86.81319,80.681816,56,lowRisk,3/24/2023,,,,,,,,,,,,,,,,,,,34,33,38.08,1,92.30769,76.420456,79,lowRisk,3/24/2023,,,0,0,,10
Early Reading English,,,,,,671858,,,,,,,,Kindergarten,Spring,3/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,51.64835,58.38068,33,someRisk,,,,,,,,,43,41,41,65.93407,67.61364,40,lowRisk,3/21/2023,18,15,15,64.83517,75.568184,57,lowRisk,3/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,9,48.35165,47.86932,31,someRisk,3/21/2023,,,,,,,,,,,,,,,,,,,34,29,29.49,5,20.879122,28.267046,35,someRisk,3/21/2023,,,2,3,,7
Early Reading English,,,,,,191161,,,,,,,,Kindergarten,Spring,3/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.83517,68.46591,40,lowRisk,,,,,,,,,44,44,44,73.62637,74.28977,48,lowRisk,3/30/2023,17,16,16,75.82417,81.107956,62,lowRisk,3/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,14,75.82417,67.47159,42,lowRisk,3/30/2023,,,,,,,,,,,,,,,,,,,34,29,21.48,5,20.879122,28.267046,35,someRisk,3/30/2023,,,0,1,,10
Early Reading English,,,,,,719176,,,,,,,,Kindergarten,Spring,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3.2967033,8.522727,4,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,3/22/2023,7,1,1,2.1978023,5.255682,3,highRisk,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,2,highRisk,3/22/2023,,,,,,,,,,,,,,,,,,,34,26,13.22,8,13.186813,19.460228,20,someRisk,3/22/2023,,,10,6,,10
Early Reading English,,,,,,542417,,,,,,,,Kindergarten,Spring,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,46.153847,53.69318,30,someRisk,,,,,,,,,37,36,36,48.35165,56.392044,29,someRisk,3/24/2023,13,13,13,48.35165,63.49432,45,lowRisk,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,7,29.67033,39.914772,25,someRisk,3/24/2023,,,,,,,,,,,,,,,,,,,34,30,32.73,4,29.67033,36.079544,49,lowRisk,3/24/2023,,,1,0,,5
Early Reading English,,,,,,198246,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,63.21839,32.386364,18,someRisk,,,,,,,,,31,29,29,67.81609,38.49432,18,someRisk,3/14/2023,11,9,9,74.71265,39.204544,24,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,7,62.068966,39.914772,25,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,28,44.21,6,55.172413,23.863636,28,someRisk,3/14/2023,,,2,2,,9
Early Reading English,,,,,,781453,,,,,,,,Kindergarten,Spring,3/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,24.137932,10.227273,5,highRisk,,,,,,,,,21,18,18,22.988506,15.340909,6,highRisk,3/23/2023,6,0,0,0,0,2,highRisk,3/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,20.689655,8.664773,5,highRisk,3/23/2023,,,,,,,,,,,,,,,,,,,34,22,23.16,12,33.333332,14.488636,12,highRisk,3/23/2023,,,3,6,,13
Early Reading English,,,,,,835392,,,,,,,,Kindergarten,Spring,3/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,41.37931,20.3125,10,highRisk,,,,,,,,,30,22,22,32.183907,19.744318,9,highRisk,3/29/2023,9,1,1,17.241379,5.255682,3,highRisk,3/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,5,50.57471,31.25,18,someRisk,3/21/2023,,,,,,,,,,,,,,,,,,,34,30,46.15,4,66.666664,36.079544,49,lowRisk,3/21/2023,,,8,8,,8
Early Reading English,,,,,,671412,,,,,,,,Kindergarten,Spring,5/2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,1,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,5/2/2023,10,0,0,0,0,2,highRisk,5/2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,2,highRisk,5/2/2023,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,1,highRisk,5/2/2023,,,10,10,,10
Early Reading English,,,,,,539898,,,,,,,,Kindergarten,Spring,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12.643678,5.5397725,2,highRisk,,,,,,,,,21,19,19,25.287355,16.335228,7,highRisk,3/22/2023,6,3,3,33.333332,13.068182,7,highRisk,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,5,50.57471,31.25,18,someRisk,3/22/2023,,,,,,,,,,,,,,,,,,,34,5,4.48,29,11.494253,3.9772727,2,highRisk,3/22/2023,,,2,3,,19
Early Reading English,,,,,,331148,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,54.022987,25.568182,13,highRisk,,,,,,,,,35,34,34,81.60919,52.414772,26,someRisk,3/15/2023,12,11,11,86.206894,51.136364,34,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,25.287355,15.767045,9,highRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,20,24.49,14,26.43678,12.926136,10,highRisk,3/15/2023,,,1,1,,7
Early Reading English,,,,,,571029,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,63.21839,32.386364,18,someRisk,,,,,,,,,26,25,25,44.827587,26.5625,13,highRisk,3/15/2023,11,10,10,80.45977,44.602272,29,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,7,62.068966,39.914772,25,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,27,34.47,7,49.42529,21.306818,24,someRisk,3/15/2023,,,1,1,,5
Early Reading English,,,,,,717889,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,63.21839,32.386364,18,someRisk,,,,,,,,,37,31,31,74.71265,44.74432,21,someRisk,3/15/2023,14,9,9,74.71265,39.204544,24,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,5,50.57471,31.25,18,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,28,54.19,6,55.172413,23.863636,28,someRisk,3/15/2023,,,6,5,,7
Early Reading English,,,,,,391704,,,,,,,,One,Spring,3/24/2023,71,71,71,100,0,67.79661,66.48794,44,lowRisk,3/27/2023,,,,,,,,,,,,,,,,,,75,79.66102,77.2118,53,lowRisk,,,,,,,,,,,,,,,,,30,30,30,84.745766,81.233246,62,lowRisk,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,80,78,78,81.355934,80.96515,62,lowRisk,3/22/2023,,,,,,,,,,,,,,,,,,,34,34,40.8,0,66.10169,58.310993,99,lowRisk,3/22/2023,,,,0,,2
Early Reading English,,,,,,948749,,,,,,,,Kindergarten,Spring,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,82.45614,49.289772,27,someRisk,,,,,,,,,26,25,30,73.68421,41.761364,19,someRisk,3/20/2023,13,12,12,80.70175,58.38068,39,lowRisk,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,12,77.192986,61.50568,38,someRisk,3/20/2023,,,,,,,,,,,,,,,,,,,34,29,14.38,5,56.14035,28.267046,35,someRisk,3/20/2023,,,1,1,,4
Early Reading English,,,,,,106814,,,,,,,,Kindergarten,Spring,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,98.24561,85.51136,64,lowRisk,,,,,,,,,41,37,37,85.96491,57.954544,31,someRisk,3/20/2023,16,14,14,96.49123,70.880684,51,lowRisk,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,50,49,56.54,100,96.875,86,lowRisk,3/20/2023,,,,,,,,,,,,,,,,,,,34,30,28.57,4,66.666664,36.079544,49,lowRisk,3/20/2023,,,4,2,,1
Early Reading English,,,,,,895667,,,,,,,,Kindergarten,Spring,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,73.68421,44.034092,24,someRisk,,,,,,,,,34,32,32,75.4386,47.44318,23,someRisk,3/16/2023,13,13,13,89.47369,63.49432,45,lowRisk,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,7,47.36842,39.914772,25,someRisk,3/16/2023,,,,,,,,,,,,,,,,,,,34,27,33.06,7,40.350876,21.306818,24,someRisk,3/16/2023,,,2,0,,3
Early Reading English,,,,,,944962,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,41.37931,20.3125,10,highRisk,,,,,,,,,35,32,32,77.0115,47.44318,23,someRisk,3/14/2023,10,0,0,0,0,2,highRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,5,50.57471,31.25,18,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,26,30,8,44.827587,19.460228,20,someRisk,3/14/2023,,,3,10,,12
Early Reading English,,,,,,456778,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,31.034483,14.0625,6,highRisk,,,,,,,,,27,23,23,33.333332,21.022728,11,highRisk,3/14/2023,10,7,7,54.022987,27.130682,17,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,4,44.827587,25.28409,15,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,15,10.11,19,22.988506,9.943182,7,highRisk,3/14/2023,,,4,3,,8
Early Reading English,,,,,,263032,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,49.122807,17.897728,9,highRisk,,,,,,,,,21,16,16,42.105263,13.068182,5,highRisk,3/15/2023,10,8,8,54.385963,32.386364,20,someRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,21.052631,20.59659,12,highRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,24,28.8,10,35.08772,16.193182,15,someRisk,3/15/2023,,,5,2,,4
Early Reading English,,,,,,325772,,,,,,,,Kindergarten,Spring,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,66.666664,37.784092,21,someRisk,,,,,,,,,26,23,23,57.894737,21.022728,11,highRisk,3/20/2023,10,10,10,64.91228,44.602272,29,someRisk,3/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,14,92.98245,67.47159,42,lowRisk,3/20/2023,,,,,,,,,,,,,,,,,,,34,28,28.47,6,45.614037,23.863636,28,someRisk,3/20/2023,,,3,0,,5
Early Reading English,,,,,,479201,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,71.264366,37.784092,21,someRisk,,,,,,,,,30,28,28,65.51724,35.795456,16,someRisk,3/14/2023,12,10,10,80.45977,44.602272,29,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,3,35.632183,20.59659,12,highRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,30,36,4,66.666664,36.079544,49,lowRisk,3/14/2023,,,2,2,,5
Early Reading English,,,,,,301629,,,,,,,,Kindergarten,Spring,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,1,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,3/22/2023,10,0,0,0,0,2,highRisk,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,2,highRisk,3/22/2023,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,1,highRisk,3/22/2023,,,10,10,,10
Early Reading English,,,,,,838797,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,71.264366,37.784092,21,someRisk,,,,,,,,,27,27,27,54.022987,32.102272,15,someRisk,3/14/2023,8,8,8,60.91954,32.386364,20,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,4,44.827587,25.28409,15,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,34,75.56,0,83.90804,85.369316,99,lowRisk,3/14/2023,,,0,0,,33
Early Reading English,,,,,,172933,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,54.022987,25.568182,13,highRisk,,,,,,,,,18,16,16,18.390804,13.068182,5,highRisk,3/14/2023,5,5,5,45.977013,18.75,11,highRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,3,35.632183,20.59659,12,highRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,34,53.68,0,83.90804,85.369316,99,lowRisk,3/14/2023,,,2,0,,8
Early Reading English,,,,,,148050,,,,,,,,Kindergarten,Spring,3/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,5.7471266,2.840909,1,highRisk,,,,,,,,,9,9,9,10.344828,7.1022725,2,highRisk,3/17/2023,10,0,0,0,0,2,highRisk,3/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,7.5,66.666664,43.892044,26,someRisk,3/17/2023,,,,,,,,,,,,,,,,,,,34,5,4.76,29,11.494253,3.9772727,2,highRisk,3/17/2023,,,0,10,,9
Early Reading English,,,,,,338968,,,,,,,,Kindergarten,Spring,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,91.954025,68.46591,40,lowRisk,,,,,,,,,34,34,34,81.60919,52.414772,26,someRisk,3/16/2023,9,8,8,60.91954,32.386364,20,someRisk,3/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,36,31,31,96.55173,87.07386,65,lowRisk,3/16/2023,,,,,,,,,,,,,,,,,,,34,34,68,0,83.90804,85.369316,99,lowRisk,3/16/2023,,,0,1,,5
Early Reading English,,,,,,910620,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,54.022987,25.568182,13,highRisk,,,,,,,,,35,35,35,83.90804,53.835228,28,someRisk,3/14/2023,5,1,1,17.241379,5.255682,3,highRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,7,62.068966,39.914772,25,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,29,25.59,5,60.91954,28.267046,35,someRisk,3/14/2023,,,0,4,,13
Early Reading English,,,,,,403445,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,20.689655,8.522727,4,highRisk,,,,,,,,,19,14,14,16.091953,11.363636,4,highRisk,3/15/2023,10,0,0,0,0,2,highRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,2,highRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,20,25.53,14,26.43678,12.926136,10,highRisk,3/15/2023,,,5,10,,10
Early Reading English,,,,,,391476,,,,,,,,One,Spring,3/22/2023,159,159,159,100,0,100,99.06166,96,AV,3/23/2023,,,,,,,,,,,,,,,,,,104,100,96.3807,86,lowRisk,,,,,,,,,,,,,,,,,36,36,36,96.90722,89.14209,73,lowRisk,3/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,92,96.90722,92.76139,81,lowRisk,3/22/2023,,,,,,,,,,,,,,,,,,,34,34,44.35,0,64.948456,58.310993,99,lowRisk,3/22/2023,,,,0,,0
